question_id,type,mean_score
0,testing,21484.97272727273
1,testing,18050.1075
2,testing,16749.355072463768
3,testing,19376.846875
4,testing,15962.95
5,testing,12880.680828651686
6,testing,18992.435975609755
7,testing,18267.334239130436
8,testing,13675.869696969698
9,testing,20737.110655737706
10,testing,17899.079896907217
11,testing,16938.732283464567
12,testing,19098.58231707317
13,testing,18572.09117647059
14,testing,18893.92469879518
15,testing,19602.212837837837
16,testing,18434.33035714286
17,testing,17943.776315789473
18,testing,18236.3475
19,testing,18658.33035714286
20,testing,18417.41105769231
21,testing,15200.98745819398
22,testing,17474.308823529413
23,testing,16682.99358974359
24,testing,21738.64423076923
25,testing,16983.557971014492
26,testing,18190.69578313253
27,testing,21373.263636363637
28,testing,17484.97857142857
29,testing,17626.352150537634
30,testing,19762.141304347828
31,testing,21415.87962962963
32,testing,18462.55523255814
33,testing,18098.379901960783
34,testing,16753.382978723403
35,testing,13649.38338493292
36,testing,16902.398734177215
37,testing,13659.722727272727
38,testing,18469.571782178216
39,testing,19259.06168831169
40,testing,20144.303846153845
41,testing,18560.806547619046
42,testing,19264.903333333332
43,testing,17627.768348623853
44,testing,12560.033437013997
45,testing,19901.310714285715
46,testing,19072.0487012987
47,testing,12681.875105130362
48,testing,19820.763698630137
49,testing,17986.266129032258
50,testing,18585.65
51,testing,19058.77743902439
52,testing,17552.6123853211
53,testing,17132.909292035398
54,testing,20707.615079365078
55,testing,13213.363057324841
56,testing,12818.20564516129
57,testing,19881.82986111111
58,testing,22740.833333333332
59,testing,14829.354838709678
60,testing,20108.473880597016
61,testing,21236.916666666668
62,testing,13906.705252918287
63,testing,19504.049342105263
64,testing,12988.495689655172
65,testing,17758.54381443299
66,testing,22036.103773584906
67,testing,13675.31955922865
68,testing,17606.251908396946
69,testing,20984.47033898305
70,testing,14496.557034220532
71,testing,18264.491379310344
72,testing,20907.795833333334
73,testing,13686.426997245178
74,testing,10945.610689916604
75,testing,21537.336363636365
76,testing,13251.590717299578
77,testing,18241.606707317074
78,testing,21839.27358490566
79,testing,13219.801268498943
80,testing,11622.896022727273
81,testing,19323.246875
82,testing,18051.456632653062
83,testing,18891.10802469136
84,testing,20618.888461538463
85,testing,14435.561200923788
86,testing,14401.154394299287
87,testing,21663.00909090909
88,testing,12656.492452830189
89,testing,9539.556145251398
90,testing,20956.26694915254
91,testing,16319.92441860465
92,testing,18190.048969072166
93,testing,20483.876865671642
94,testing,18379.90053763441
95,testing,15360.354166666666
96,testing,20708.189516129034
97,testing,20636.8625
98,testing,12868.027936145952
99,testing,20713.710317460318
100,testing,17481.31026785714
101,testing,18185.731382978724
102,testing,21494.45535714286
103,testing,20526.225409836065
104,testing,11578.024144869216
105,testing,18944.043604651164
106,testing,17105.905462184874
107,testing,17986.422413793105
108,testing,21152.60593220339
109,testing,18842.78164556962
110,testing,17539.136574074073
111,testing,20040.699324324323
112,testing,17391.174778761062
113,testing,13104.24083503055
114,testing,21203.474137931036
115,testing,17556.72247706422
116,testing,14514.40909090909
117,testing,21189.219298245614
118,testing,19775.073076923076
119,testing,17804.576704545456
120,testing,19473.585616438355
121,testing,17819.70061728395
122,testing,16737.193333333333
123,testing,19745.882142857143
124,testing,18101.49175824176
125,testing,18222.8125
126,testing,20727.38559322034
127,testing,13706.613888888889
128,testing,14003.964139344262
129,testing,20200.940972222223
130,testing,18267.144736842107
131,testing,18322.290404040403
132,testing,21718.863636363636
133,testing,18402.64527027027
134,testing,13488.69849081365
135,testing,19984.278169014084
136,testing,15917.694300518135
137,testing,13327.760901699927
138,testing,19845.539285714287
139,testing,16631.58219178082
140,testing,16475.252808988764
141,testing,19565.12323943662
142,testing,13185.36
143,testing,19332.259868421053
144,testing,21024.0625
145,testing,18114.803571428572
146,testing,13566.530480295567
147,testing,21882.745283018867
148,testing,18514.290760869564
149,testing,17620.51168224299
150,testing,19132.143292682926
151,testing,20755.474137931036
152,testing,18044.364942528737
153,testing,19268.787037037036
154,testing,12608.493562231759
155,testing,17128.916666666668
156,testing,20777.350806451614
157,testing,22295.53125
158,testing,17473.77100840336
159,testing,20206.861940298506
160,testing,12739.173387096775
161,testing,12285.248802190281
162,testing,19679.61301369863
163,testing,18642.11470588235
164,testing,12563.343891402716
165,testing,19340.199367088608
166,testing,17001.53146853147
167,testing,12225.656976744185
168,testing,20607.04365079365
169,testing,17335.103982300883
170,testing,17032.661504424777
171,testing,21880.330188679247
172,testing,18905.1875
173,testing,18996.103333333333
174,testing,21374.45535714286
175,testing,15480.149171270717
176,testing,13865.59940944882
177,testing,19328.050675675677
178,testing,19054.983333333334
179,testing,13989.24182444062
180,testing,19407.8487654321
181,testing,18457.942934782608
182,testing,12144.931630546957
183,testing,20504.673076923078
184,testing,18210.922872340427
185,testing,16116.075342465754
186,testing,20653.05859375
187,testing,17941.522727272728
188,testing,16323.642335766423
189,testing,21505.883928571428
190,testing,21449.79
191,testing,17937.245238095238
192,testing,21279.521186440677
193,testing,13676.02479338843
194,testing,18198.00824175824
195,testing,20909.479838709678
196,testing,17894.739247311827
197,testing,18234.519444444446
198,testing,19484.98287671233
199,testing,15672.018518518518
200,deployment,17721.188636363637
201,deployment,16039.331125827815
202,deployment,18546.951704545456
203,deployment,18368.844387755104
204,deployment,15785.018604651163
205,deployment,18270.963483146068
206,deployment,18230.667553191488
207,deployment,14926.410971223022
208,deployment,16667.745341614907
209,deployment,15801.80392480211
210,deployment,13973.72750865052
211,deployment,20527.274590163935
212,deployment,15080.491245136187
213,deployment,18593.66772151899
214,deployment,20438.05859375
215,deployment,20826.354545454546
216,deployment,14649.133491311217
217,deployment,16097.653658536585
218,deployment,20234.729166666668
219,deployment,22048.19387755102
220,deployment,15115.2744140625
221,deployment,14911.670642201834
222,deployment,17745.245238095238
223,deployment,18823.573529411766
224,deployment,15859.338797814207
225,deployment,15758.619266055046
226,deployment,16902.98051948052
227,deployment,17318.03546099291
228,deployment,23448.215909090908
229,deployment,13911.087121212122
230,deployment,22870.255555555555
231,deployment,14919.140625
232,deployment,18592.996323529413
233,deployment,18189.973529411764
234,deployment,14840.219827586207
235,deployment,14095.929729729729
236,deployment,14841.35816876122
237,deployment,18577.429012345678
238,deployment,17655.827235772358
239,deployment,15569.254143646409
240,deployment,19674.238636363636
241,deployment,17973.008620689656
242,deployment,17881.797368421052
243,deployment,15987.199152542373
