question_id,type,mean_score
0,testing,-2728.7110795454546
1,testing,-1572.633125
2,testing,-1214.2436594202898
3,testing,-1938.4302734375
4,testing,-1009.5989583333334
5,testing,-445.12270123771066
6,testing,-1889.5599275914635
7,testing,-1718.547554347826
8,testing,-735.4802083333333
9,testing,-2478.3657786885246
10,testing,-1705.1475515463917
11,testing,-1315.15625
12,testing,-1877.2431402439024
13,testing,-1824.2713235294118
14,testing,-1926.4853162650602
15,testing,-2079.1765202702704
16,testing,-1833.2666945684523
17,testing,-1731.9190789473685
18,testing,-1581.267421875
19,testing,-1839.360119047619
20,testing,-1555.0518329326924
21,testing,-672.7507316053511
22,testing,-1367.2232142857142
23,testing,-1084.9740584935898
24,testing,-2896.430889423077
25,testing,-1195.7246376811595
26,testing,-1894.0655120481927
27,testing,-2741.8392045454543
28,testing,-1539.8183779761905
29,testing,-1717.3052755376343
30,testing,-2208.9547101449275
31,testing,-2782.368634259259
32,testing,-1857.5922965116279
33,testing,-1546.6241574754902
34,testing,-1194.3887411347519
35,testing,-336.34613648090817
36,testing,-1075.157832278481
37,testing,-692.4003551136364
38,testing,-1602.6101485148515
39,testing,-1995.9131493506493
40,testing,-2338.8221153846152
41,testing,-1863.7049851190477
42,testing,-2056.2108333333335
43,testing,-1470.7233371559632
44,testing,-580.2243997861586
45,testing,-2182.8834821428572
46,testing,-1994.403814935065
47,testing,-392.55749891584315
48,testing,-2086.732020547945
49,testing,-1676.7503360215053
50,testing,-2087.0725
51,testing,-1872.8887195121952
52,testing,-1457.3308486238532
53,testing,-1406.4382605088495
54,testing,-2396.750992063492
55,testing,-652.3901108014862
56,testing,-426.5011690748208
57,testing,-2115.953125
58,testing,-3289.3819444444443
59,testing,-571.0582399581266
60,testing,-2261.8423507462685
61,testing,-2749.6417824074074
62,testing,-801.1211697470817
63,testing,-2015.6928453947369
64,testing,-848.6204202586207
65,testing,-1674.5509020618556
66,testing,-2820.087853773585
67,testing,-742.176652892562
68,testing,-1286.0455182490457
69,testing,-2544.231991525424
70,testing,-753.3940114068441
71,testing,-1841.5944683908046
72,testing,-2508.211979166667
73,testing,-742.6559917355372
74,testing,-494.2507818423048
75,testing,-2716.3642045454544
76,testing,-650.3218782964135
77,testing,-1931.2030297256097
78,testing,-2810.4321933962265
79,testing,-651.5269886363636
80,testing,-561.6458333333334
81,testing,-1940.59609375
82,testing,-1625.2627551020407
83,testing,-1929.6658950617284
84,testing,-2327.0850961538463
85,testing,-583.0627165127021
86,testing,-525.4333478696556
87,testing,-2722.6539772727274
88,testing,-794.3633475825471
89,testing,-488.07024266759777
90,testing,-2545.6006355932204
91,testing,-992.482421875
92,testing,-1643.1636597938145
93,testing,-2267.45802238806
94,testing,-1683.1854838709678
95,testing,-1207.59375
96,testing,-2432.3830645161293
97,testing,-2506.23125
98,testing,-403.99558653880416
99,testing,-2397.722222222222
100,testing,-1436.5345982142858
101,testing,-1689.6524268617022
102,testing,-2673.9469866071427
103,testing,-2483.9282786885246
104,testing,-774.5407444668008
105,testing,-1823.0298873546512
106,testing,-1445.7696953781513
107,testing,-1804.3548850574712
108,testing,-2547.5286016949153
109,testing,-1945.71855221519
110,testing,-1474.3823784722222
111,testing,-2073.827491554054
112,testing,-1536.358960176991
113,testing,-450.3677205320774
114,testing,-2583.6772629310344
115,testing,-1482.5590596330276
116,testing,-1355.7199675324675
117,testing,-2629.5202850877195
118,testing,-2304.3326923076925
119,testing,-1794.9275568181818
120,testing,-2111.302654109589
121,testing,-1975.3530092592594
122,testing,-1135.293125
123,testing,-2170.2727678571428
124,testing,-1724.1964285714287
125,testing,-1764.8091032608695
126,testing,-2544.2161016949153
127,testing,-747.0056423611111
128,testing,-862.825499487705
129,testing,-2104.5442708333335
130,testing,-1668.2677014802632
131,testing,-1623.3579545454545
132,testing,-2719.721590909091
133,testing,-2140.6866554054054
134,testing,-378.1296880126312
135,testing,-2167.1294014084506
136,testing,-949.3877914507772
137,testing,-365.1584644077975
138,testing,-2169.0447544642857
139,testing,-1218.9055008561643
140,testing,-965.9027387640449
141,testing,-2161.282570422535
142,testing,-648.3475328947368
143,testing,-2070.2590460526317
144,testing,-2503.4427083333335
145,testing,-1613.220025510204
146,testing,-367.2890588920105
147,testing,-2810.541420990566
148,testing,-1718.664402173913
149,testing,-1500.4557717581777
150,testing,-1868.6196646341464
151,testing,-2563.545797413793
152,testing,-1818.719827586207
153,testing,-1930.8310185185185
154,testing,-875.4364940987125
155,testing,-1646.125
156,testing,-2450.1804435483873
157,testing,-3108.3580729166665
158,testing,-1410.1643907563025
159,testing,-2251.5037313432836
160,testing,-785.2127331149194
161,testing,-438.43355364476383
162,testing,-2093.902397260274
163,testing,-1840.8746323529413
164,testing,-707.2557091346154
165,testing,-1947.035996835443
166,testing,-1159.7716346153845
167,testing,-548.249428986711
168,testing,-2392.187003968254
169,testing,-1431.2433628318583
170,testing,-1448.716814159292
171,testing,-2806.4840801886794
172,testing,-1843.0152529761904
173,testing,-2099.2066666666665
174,testing,-2664.5184151785716
175,testing,-981.4539235151934
176,testing,-497.1179064653051
177,testing,-2071.5760135135133
178,testing,-2037.21625
179,testing,-449.0097454550344
180,testing,-1914.1604938271605
181,testing,-1732.951511548913
182,testing,-549.5656161313209
183,testing,-2339.4913461538463
184,testing,-1667.2777593085107
185,testing,-1195.75461526113
186,testing,-2351.7861328125
187,testing,-1570.0700757575758
188,testing,-1249.0522068886862
189,testing,-2672.413504464286
190,testing,-2974.888125
191,testing,-1575.6494419642856
192,testing,-2556.5625
193,testing,-741.9920798898072
194,testing,-1745.2328296703297
195,testing,-2407.5675403225805
196,testing,-1675.2207661290322
197,testing,-1791.05
198,testing,-2093.1431934931506
199,testing,-1081.9211033950617
200,deployment,-1470.459872159091
201,deployment,-1125.4447433774835
202,deployment,-1799.5443892045455
203,deployment,-1616.975078037807
204,deployment,-841.7708575581395
205,deployment,-1768.8830758426966
206,deployment,-1695.7030418882978
207,deployment,-481.7641917715827
208,deployment,-1048.6131599378882
209,deployment,-548.7514893222295
210,deployment,-760.7855752595156
211,deployment,-2496.24487704918
212,deployment,-502.5439643117704
213,deployment,-2016.2737341772151
214,deployment,-2377.4287109375
215,deployment,-2751.411931818182
216,deployment,-460.1138181279621
217,deployment,-909.0484756097561
218,deployment,-2539.347135416667
219,deployment,-3028.779336734694
220,deployment,-501.7866516113281
221,deployment,-489.11857798165136
222,deployment,-1517.661607142857
223,deployment,-1826.3308823529412
224,deployment,-1025.3206113387978
225,deployment,-888.8074111238532
226,deployment,-1079.7771915584415
227,deployment,-1165.0300310283687
228,deployment,-3348.208806818182
229,deployment,-488.2994495738636
230,deployment,-3287.634722222222
231,deployment,-489.94762465533086
232,deployment,-2303.160845588235
233,deployment,-1874.839705882353
234,deployment,-525.5998282596983
235,deployment,-645.5557696368244
236,deployment,-479.0270421903052
237,deployment,-1988.7152777777778
238,deployment,-1323.2112550813008
239,deployment,-1025.6676450276243
240,deployment,-2287.6723484848485
241,deployment,-1848.4673132183907
242,deployment,-1685.5574013157895
243,deployment,-794.2476165254237
244,deployment,-2815.545400943396
245,deployment,-1675.0172872340424
246,deployment,-1330.7147135416667
247,deployment,-1825.7068965517242
248,deployment,-662.8076746323529
249,deployment,-1451.9148853443287
250,deployment,-3007.745
251,deployment,-886.3702980324074
252,deployment,-2493.3063524590166
253,deployment,-1224.2702600279852
254,deployment,-1934.7525724085365
255,deployment,-2151.543573943662
256,deployment,-1215.3648966165413
257,deployment,-2172.1865942028985
258,deployment,-756.9339341286307
259,deployment,-496.50141842918254
260,deployment,-2161.8419642857143
261,deployment,-864.5351914414415
262,deployment,-924.9682112068965
263,deployment,-1213.8549497377621
264,deployment,-525.5373591656517
265,deployment,-486.00680248119215
266,deployment,-1210.4387454710145
267,deployment,-868.3238316441441
268,deployment,-1056.9055873325892
269,deployment,-587.0701349431819
270,deployment,-471.8239565404475
271,deployment,-2295.5257352941176
272,deployment,-976.8296342329545
273,deployment,-1252.9219898897059
274,deployment,-2036.6564583333334
275,deployment,-1136.603462837838
276,deployment,-518.047283475127
277,deployment,-3479.3199404761904
278,deployment,-501.56156933752027
279,deployment,-485.8571459688662
280,deployment,-3516.7306547619046
281,deployment,-1179.7754044769504
282,deployment,-1998.9675632911392
283,deployment,-873.6547585227273
284,deployment,-3491.7961309523807
285,deployment,-2018.0608333333332
286,deployment,-499.5861778846154
287,deployment,-2869.855769230769
288,deployment,-1440.8692801339287
289,deployment,-1133.0126284246576
290,deployment,-2342.029356060606
291,deployment,-485.1175733515784
292,deployment,-490.92954174440297
293,deployment,-556.9921824466364
294,deployment,-2017.9643987341772
295,deployment,-1046.1740464868012
296,deployment,-2833.974646226415
297,deployment,-502.85009101941745
298,deployment,-516.4775180933666
299,deployment,-2998.4225
300,deployment,-1943.465701219512
301,deployment,-1331.3932692307692
302,deployment,-525.5373591656517
303,deployment,-2251.290355009191
304,deployment,-1256.29375
305,deployment,-1001.661312849162
306,deployment,-1083.3037109375
307,deployment,-548.7283600101626
308,deployment,-885.7717803030303
309,deployment,-1981.38671875
310,deployment,-1210.9299858940972
311,deployment,-1591.903828125
312,deployment,-1003.9501840876437
313,deployment,-2924.0588235294117
314,deployment,-2048.6063311688313
315,deployment,-496.796875
316,deployment,-495.4790247182377
317,deployment,-1519.9947916666667
318,deployment,-484.8774522569444
319,deployment,-1480.8903383027523
320,deployment,-1200.1886917679399
321,deployment,-2237.0376838235293
322,deployment,-889.1157407407408
323,deployment,-916.8072789634147
324,deployment,-514.8416077769887
325,deployment,-1153.8359375
