question_id,type,mean_score
0,testing,18950.4
1,testing,16597.76
2,testing,15772.289855072464
3,testing,17546.8
4,testing,15217.066666666668
5,testing,12265.483146067416
6,testing,17398.243902439026
7,testing,16556.521739130436
8,testing,13063.757575757576
9,testing,18626.622950819674
10,testing,16421.60824742268
11,testing,15770.708661417322
12,testing,17447.414634146342
13,testing,16690.823529411766
14,testing,17418.409638554218
15,testing,17833.945945945947
16,testing,16533.714285714286
17,testing,16414.315789473683
18,testing,16803.2
19,testing,16909.333333333332
20,testing,17062.153846153848
21,testing,14102.581939799331
22,testing,16179.09243697479
23,testing,15605.333333333334
24,testing,19444.30769230769
25,testing,15782.492753623188
26,testing,16648.09638554217
27,testing,18978.327272727274
28,testing,16001.828571428572
29,testing,16295.913978494624
30,testing,18019.710144927536
31,testing,18937.48148148148
32,testing,17002.79069767442
33,testing,16727.843137254902
34,testing,15605.560283687943
35,testing,12888.041279669762
36,testing,15686.886075949367
37,testing,12816.581818181818
38,testing,16801.58415841584
39,testing,17488.20779220779
40,testing,17897.846153846152
41,testing,17208.0
42,testing,17227.52
43,testing,16056.366972477064
44,testing,11848.11197511664
45,testing,18160.914285714287
46,testing,17355.22077922078
47,testing,12108.62237174096
48,testing,17849.424657534248
49,testing,16754.924731182797
50,testing,17073.92
51,testing,17239.024390243903
52,testing,16214.311926605504
53,testing,16165.38053097345
54,testing,18580.825396825396
55,testing,12382.64118895966
56,testing,12187.268817204302
57,testing,17978.222222222223
58,testing,20155.022222222222
59,testing,13834.957816377171
60,testing,18266.268656716416
61,testing,18885.333333333332
62,testing,12824.03112840467
63,testing,17617.263157894737
64,testing,11854.206896551725
65,testing,16358.268041237114
66,testing,19588.22641509434
67,testing,12803.438016528926
68,testing,16612.152671755724
69,testing,18875.118644067796
70,testing,13777.399239543725
71,testing,16745.19540229885
72,testing,18752.533333333333
73,testing,12790.920110192837
74,testing,10299.996967399546
75,testing,19156.363636363636
76,testing,12401.147679324895
77,testing,16750.439024390245
78,testing,19438.490566037737
79,testing,12365.057082452431
80,testing,11011.006060606062
81,testing,17642.8
82,testing,16303.673469387755
83,testing,16926.41975308642
84,testing,18533.907692307694
85,testing,13434.087759815242
86,testing,13562.527315914489
87,testing,19287.854545454546
88,testing,11575.42641509434
89,testing,9036.978770949721
90,testing,18907.661016949154
91,testing,15217.488372093023
92,testing,16603.05154639175
93,testing,18471.641791044774
94,testing,16822.36559139785
95,testing,14528.0
96,testing,18524.387096774193
97,testing,18416.533333333333
98,testing,12242.025085518813
99,testing,18605.20634920635
100,testing,16213.714285714286
101,testing,16462.297872340427
102,testing,19237.14285714286
103,testing,18263.60655737705
104,testing,10965.762575452716
105,testing,17354.79069767442
106,testing,15733.24369747899
107,testing,16378.850574712644
108,testing,18867.525423728814
109,testing,17031.696202531646
110,testing,16030.222222222223
111,testing,18173.837837837837
112,testing,16119.504424778761
113,testing,12566.158859470468
114,testing,19143.172413793105
115,testing,16246.018348623853
116,testing,13501.09090909091
117,testing,18968.140350877195
118,testing,17741.292307692307
119,testing,16108.363636363636
120,testing,17751.23287671233
121,testing,16122.864197530864
122,testing,15805.866666666667
123,testing,17866.514285714286
124,testing,16469.45054945055
125,testing,16903.652173913044
126,testing,18708.06779661017
127,testing,12807.022222222222
128,testing,12962.22950819672
129,testing,18224.444444444445
130,testing,16764.63157894737
131,testing,16907.636363636364
132,testing,19373.963636363635
133,testing,16818.594594594593
134,testing,12817.133858267716
135,testing,18188.169014084506
136,testing,14895.751295336788
137,testing,12587.660014781966
138,testing,18041.14285714286
139,testing,15428.383561643835
140,testing,15417.887640449439
141,testing,17769.915492957745
142,testing,12351.730526315789
143,testing,17576.0
144,testing,18771.733333333334
145,testing,16561.632653061224
146,testing,13067.586206896553
147,testing,19466.264150943396
148,testing,16802.08695652174
149,testing,16409.719626168226
150,testing,17612.878048780487
151,testing,18413.793103448275
152,testing,16471.172413793105
153,testing,17552.987654320987
154,testing,11529.751072961373
155,testing,15784.727272727272
156,testing,18672.0
157,testing,19923.333333333332
158,testing,16256.0
159,testing,18342.68656716418
160,testing,11649.806451612903
161,testing,11587.504449007529
162,testing,17813.479452054795
163,testing,16926.49411764706
164,testing,11895.239819004524
165,testing,17730.025316455696
166,testing,15831.720279720279
167,testing,11619.720930232557
168,testing,18505.650793650795
169,testing,16130.83185840708
170,testing,15915.610619469027
171,testing,19524.22641509434
172,testing,17050.285714285714
173,testing,17346.986666666668
174,testing,19184.571428571428
175,testing,14389.745856353591
176,testing,13160.566929133858
177,testing,17593.513513513513
178,testing,17327.36
179,testing,13224.31669535284
180,testing,17470.814814814814
181,testing,16678.956521739132
182,testing,11584.132094943241
183,testing,18557.53846153846
184,testing,16682.212765957447
185,testing,14972.493150684932
186,testing,18362.5
187,testing,16237.252525252525
188,testing,15289.92700729927
189,testing,19191.428571428572
190,testing,19134.72
191,testing,16639.390476190478
192,testing,19070.372881355932
193,testing,12805.201101928375
194,testing,16733.53846153846
195,testing,18789.677419354837
196,testing,16363.354838709678
197,testing,16914.48888888889
198,testing,17862.575342465752
199,testing,14622.024691358025
200,deployment,16354.90909090909
201,deployment,14827.23178807947
202,deployment,16825.090909090908
203,deployment,17003.755102040817
204,deployment,14533.358139534883
205,deployment,16726.65168539326
206,deployment,17211.23404255319
207,deployment,14217.438848920863
208,deployment,15600.496894409938
209,deployment,15008.506596306068
210,deployment,13143.363321799308
211,deployment,18319.213114754097
212,deployment,14405.603112840467
213,deployment,17064.101265822785
214,deployment,18384.5
215,deployment,18614.109090909093
216,deployment,13929.807266982623
217,deployment,15055.29756097561
218,deployment,18464.533333333333
219,deployment,19686.530612244896
220,deployment,14429.5
221,deployment,14221.504587155963
222,deployment,16545.52380952381
223,deployment,17386.54117647059
224,deployment,15079.169398907105
225,deployment,14887.926605504586
226,deployment,15909.402597402597
227,deployment,16125.27659574468
228,deployment,20681.454545454544
229,deployment,13386.90909090909
230,deployment,20352.71111111111
231,deployment,14226.411764705883
232,deployment,16803.29411764706
233,deployment,16743.529411764706
234,deployment,13802.551724137931
235,deployment,13466.118918918919
236,deployment,14155.49012567325
237,deployment,16871.9012345679
238,deployment,16351.739837398374
239,deployment,14921.193370165745
240,deployment,17754.666666666668
241,deployment,16462.344827586207
242,deployment,16268.8
243,deployment,15441.898305084746
244,deployment,18415.69811320755
245,deployment,16115.744680851063
246,deployment,15837.066666666668
247,deployment,16454.25287356322
248,deployment,13828.988235294117
249,deployment,16531.555555555555
250,deployment,19585.28
251,deployment,14707.25925925926
252,deployment,18083.147540983606
253,deployment,16425.074626865673
254,deployment,16842.926829268294
255,deployment,17581.521126760563
256,deployment,16144.842105263158
257,deployment,17570.782608695652
258,deployment,14625.195020746887
259,deployment,14278.813688212927
260,deployment,17942.4
261,deployment,14855.783783783783
262,deployment,14891.822660098522
263,deployment,15496.055944055945
264,deployment,14753.052375152254
265,deployment,14239.762962962963
266,deployment,15668.40579710145
267,deployment,14928.432432432432
268,deployment,14728.0
269,deployment,13534.981818181817
270,deployment,14067.1669535284
271,deployment,17350.58823529412
272,deployment,15396.363636363636
273,deployment,15505.411764705883
274,deployment,17254.826666666668
275,deployment,16086.486486486487
276,deployment,14633.531914893618
277,deployment,20669.714285714286
278,deployment,12499.811993517018
279,deployment,14239.524163568773
280,deployment,20633.14285714286
281,deployment,16457.078014184397
