question_id,type,mean_score
0,testing,-15425.745454545455
1,testing,-10390.4
2,testing,-9166.72463768116
3,testing,-12021.0
4,testing,-7968.711111111111
5,testing,-3228.550561797753
6,testing,-11780.682926829268
7,testing,-10901.217391304348
8,testing,-5100.436363636363
9,testing,-14491.540983606557
10,testing,-10670.680412371134
11,testing,-9502.488188976378
12,testing,-11946.731707317073
13,testing,-11573.082352941177
14,testing,-12045.493975903615
15,testing,-12694.918918918918
16,testing,-11494.666666666666
17,testing,-11073.01052631579
18,testing,-10587.68
19,testing,-11628.190476190477
20,testing,-10900.461538461539
21,testing,-6292.816053511706
22,testing,-9848.73949579832
23,testing,-8566.666666666666
24,testing,-15834.461538461539
25,testing,-8795.420289855072
26,testing,-11348.33734939759
27,testing,-15381.527272727273
28,testing,-10233.904761904761
29,testing,-11103.827956989247
30,testing,-13028.869565217392
31,testing,-15342.814814814816
32,testing,-11655.627906976744
33,testing,-10557.019607843138
34,testing,-8610.156028368794
35,testing,-3738.1795665634677
36,testing,-8022.683544303797
37,testing,-5493.4
38,testing,-10935.287128712871
39,testing,-12327.896103896104
40,testing,-13683.692307692309
41,testing,-11905.714285714286
42,testing,-12429.226666666667
43,testing,-9813.284403669724
44,testing,-3661.688958009331
45,testing,-13117.257142857143
46,testing,-12307.012987012988
47,testing,-3301.9436501261566
48,testing,-12788.383561643835
49,testing,-10763.354838709678
50,testing,-12520.96
51,testing,-11623.609756097561
52,testing,-10069.724770642202
53,testing,-10185.557522123894
54,testing,-13913.142857142857
55,testing,-5158.2335456475585
56,testing,-3536.3978494623657
57,testing,-12942.0
58,testing,-17677.51111111111
59,testing,-5419.146401985112
60,testing,-13379.820895522387
61,testing,-15403.851851851852
62,testing,-5612.669260700389
63,testing,-12397.473684210527
64,testing,-6096.0344827586205
65,testing,-10848.659793814433
66,testing,-15768.452830188678
67,testing,-5666.865013774105
68,testing,-9871.145038167939
69,testing,-14706.983050847457
70,testing,-6528.273764258555
71,testing,-10978.48275862069
72,testing,-14400.8
73,testing,-5641.476584022039
74,testing,-2705.1872630780895
75,testing,-15142.4
76,testing,-5149.738396624472
77,testing,-11434.243902439024
78,testing,-15690.566037735849
79,testing,-5130.520084566596
80,testing,-3373.163636363636
81,testing,-12092.0
82,testing,-10192.734693877552
83,testing,-11657.876543209877
84,testing,-13693.538461538461
85,testing,-5549.080831408776
86,testing,-5251.163895486936
87,testing,-15374.254545454545
88,testing,-5598.762264150943
89,testing,-2125.5036487430166
90,testing,-14718.64406779661
91,testing,-7974.093023255814
92,testing,-10964.453608247422
93,testing,-13398.208955223881
94,testing,-10927.31182795699
95,testing,-8323.0
96,testing,-14120.258064516129
97,testing,-14330.4
98,testing,-3473.085518814139
99,testing,-13971.301587301587
100,testing,-9822.07142857143
101,testing,-10822.297872340425
102,testing,-15178.57142857143
103,testing,-14148.459016393443
104,testing,-3302.43661971831
105,testing,-11586.60465116279
106,testing,-9524.840336134454
107,testing,-10958.620689655172
108,testing,-14660.06779661017
