question_id,type,mean_score
0,testing,-795.6727272727272
1,testing,-772.0
2,testing,-784.9565217391304
3,testing,-795.7
4,testing,-788.2444444444444
5,testing,-981.4016853932584
6,testing,-805.2682926829268
7,testing,-786.0434782608696
8,testing,-932.569696969697
9,testing,-809.5081967213115
10,testing,-755.1958762886597
11,testing,-777.5905511811023
12,testing,-813.4634146341464
13,testing,-777.4588235294118
14,testing,-778.7951807228916
15,testing,-796.8648648648649
16,testing,-785.7619047619048
17,testing,-777.6
18,testing,-778.68
19,testing,-775.5238095238095
20,testing,-770.9230769230769
21,testing,-801.752508361204
22,testing,-764.8403361344538
23,testing,-814.4871794871794
24,testing,-801.4615384615385
25,testing,-776.7536231884058
26,testing,-808.2409638554217
27,testing,-801.8909090909091
28,testing,-762.0761904761905
29,testing,-789.3548387096774
30,testing,-806.4347826086956
31,testing,-793.925925925926
32,testing,-771.7441860465116
33,testing,-787.2549019607843
34,testing,-797.3900709219859
35,testing,-944.2476780185758
36,testing,-813.2405063291139
37,testing,-773.1227272727273
38,testing,-766.6930693069307
39,testing,-779.7922077922078
40,testing,-769.1692307692308
41,testing,-770.1904761904761
42,testing,-801.0666666666667
43,testing,-845.7614678899082
44,testing,-928.796267496112
45,testing,-793.7142857142857
46,testing,-789.1948051948052
47,testing,-933.9579478553406
48,testing,-784.9589041095891
49,testing,-790.7096774193549
50,testing,-776.9866666666667
51,testing,-789.7560975609756
52,testing,-774.348623853211
53,testing,-792.6194690265487
54,testing,-782.063492063492
55,testing,-747.5753715498938
56,testing,-940.0286738351255
57,testing,-779.7777777777778
58,testing,-783.0222222222222
59,testing,-855.2655086848636
60,testing,-796.2985074626865
61,testing,-797.2592592592592
62,testing,-889.727626459144
63,testing,-778.9473684210526
64,testing,-740.5344827586207
65,testing,-769.7731958762887
66,testing,-787.1698113207547
67,testing,-774.4738292011019
68,testing,-790.2442748091603
69,testing,-782.9152542372881
70,testing,-781.1026615969582
71,testing,-844.1149425287356
72,testing,-782.0
73,testing,-774.2424242424242
74,testing,-940.470053070508
75,testing,-792.3636363636364
76,testing,-746.9324894514768
77,testing,-860.8780487804878
78,testing,-779.3962264150944
79,testing,-747.9027484143763
80,testing,-949.9333333333333
81,testing,-760.05
82,testing,-851.3469387755102
83,testing,-816.9876543209876
84,testing,-800.0
85,testing,-747.6951501154734
86,testing,-855.2304038004751
87,testing,-793.0545454545454
88,testing,-746.1735849056604
89,testing,-967.4614525139665
90,testing,-788.0677966101695
91,testing,-788.7209302325581
92,testing,-780.0412371134021
93,testing,-801.0746268656717
94,testing,-812.7311827956989
95,testing,-774.8055555555555
96,testing,-797.8064516129032
97,testing,-814.5333333333333
98,testing,-929.5735461801596
99,testing,-788.2539682539683
100,testing,-777.4821428571429
101,testing,-805.7446808510638
102,testing,-789.2142857142857
103,testing,-805.7049180327868
104,testing,-954.3903420523138
105,testing,-786.8372093023256
106,testing,-802.6890756302521
107,testing,-852.2758620689655
108,testing,-781.3898305084746
109,testing,-783.5443037974684
110,testing,-816.425925925926
111,testing,-794.7027027027027
112,testing,-769.433628318584
113,testing,-930.79633401222
114,testing,-783.5862068965517
115,testing,-778.0550458715596
116,testing,-867.974025974026
117,testing,-787.5087719298245
118,testing,-779.5076923076923
119,testing,-784.7272727272727
120,testing,-781.6438356164383
121,testing,-771.3086419753087
122,testing,-759.12
123,testing,-788.5714285714286
124,testing,-770.4835164835165
125,testing,-817.0
126,testing,-785.0169491525423
127,testing,-773.4722222222222
128,testing,-889.8524590163935
129,testing,-784.6666666666666
130,testing,-808.7157894736843
131,testing,-798.8484848484849
132,testing,-786.2545454545455
133,testing,-784.5405405405405
134,testing,-938.9081364829397
135,testing,-787.830985915493
136,testing,-786.0518134715026
137,testing,-918.6637102734663
138,testing,-784.2285714285714
139,testing,-778.0958904109589
140,testing,-773.1460674157304
141,testing,-784.5633802816901
142,testing,-748.2063157894737
143,testing,-767.6578947368421
144,testing,-790.5333333333333
145,testing,-793.6734693877551
146,testing,-932.4137931034483
147,testing,-782.566037735849
148,testing,-787.3913043478261
149,testing,-780.6355140186915
150,testing,-767.4878048780488
151,testing,-811.3103448275862
152,testing,-784.3678160919541
153,testing,-794.8641975308642
154,testing,-731.5450643776824
155,testing,-785.010101010101
156,testing,-772.3225806451613
157,testing,-782.9166666666666
158,testing,-777.6806722689075
159,testing,-803.044776119403
160,testing,-734.4435483870968
161,testing,-918.3394934976044
162,testing,-788.8767123287671
163,testing,-794.9176470588235
164,testing,-922.6425339366516
165,testing,-792.8607594936709
166,testing,-782.5734265734266
167,testing,-955.6478405315614
168,testing,-791.4920634920635
169,testing,-781.9115044247787
170,testing,-772.6548672566372
171,testing,-802.7924528301887
172,testing,-769.8095238095239
173,testing,-773.8666666666667
174,testing,-798.4285714285714
175,testing,-763.2154696132596
176,testing,-923.7952755905512
177,testing,-797.2432432432432
178,testing,-772.1866666666666
179,testing,-932.7160068846816
180,testing,-802.9135802469136
181,testing,-811.9130434782609
182,testing,-916.2105263157895
183,testing,-791.4461538461538
184,testing,-812.5744680851063
185,testing,-764.068493150685
186,testing,-771.5
187,testing,-797.2929292929293
188,testing,-783.8394160583941
189,testing,-800.0
190,testing,-786.64
191,testing,-763.1238095238095
192,testing,-770.9152542372881
193,testing,-774.9366391184573
194,testing,-778.8571428571429
195,testing,-787.5483870967741
196,testing,-852.9032258064516
197,testing,-794.1333333333333
198,testing,-788.986301369863
199,testing,-769.0246913580247
200,deployment,-789.0545454545454
201,deployment,-796.5430463576159
202,deployment,-809.3181818181819
203,deployment,-786.3265306122449
204,deployment,-815.106976744186
205,deployment,-769.9775280898876
206,deployment,-784.6382978723404
207,deployment,-793.363309352518
208,deployment,-777.7888198757764
209,deployment,-773.5963060686016
210,deployment,-696.477508650519
211,deployment,-790.2295081967213
212,deployment,-804.1322957198444
213,deployment,-739.3417721518987
214,deployment,-787.125
215,deployment,-786.0363636363636
216,deployment,-761.345971563981
217,deployment,-775.2780487804878
218,deployment,-789.5333333333333
219,deployment,-786.9387755102041
220,deployment,-805.87109375
221,deployment,-788.7816513761468
222,deployment,-734.9142857142857
223,deployment,-757.5764705882353
224,deployment,-766.9726775956284
225,deployment,-722.1376146788991
