question_id,type,mean_score
0,testing,-9.147203947368421
1,testing,-9.442248774509803
2,testing,-9.27578125
3,testing,-9.18044969512195
4,testing,-8.805975274725276
5,testing,-9.591692927170868
6,testing,-7.783296130952381
7,testing,-9.136303191489361
8,testing,-9.75207078313253
9,testing,-8.840277777777779
10,testing,-9.262310606060606
11,testing,-9.677446705426357
12,testing,-8.184709821428571
13,testing,-8.964260057471265
14,testing,-9.579227941176471
15,testing,-8.580592105263158
16,testing,-9.182594476744185
17,testing,-9.309439432989691
18,testing,-8.55361519607843
19,testing,-8.81922238372093
20,testing,-10.268278301886792
21,testing,-9.824387458471762
22,testing,-10.012138429752065
23,testing,-10.519284018987342
24,testing,-8.212094907407407
25,testing,-9.759040178571428
26,testing,-9.257904411764706
27,testing,-8.380756578947368
28,testing,-9.50642523364486
29,testing,-9.73092105263158
30,testing,-9.128521126760564
31,testing,-8.60546875
32,testing,-9.347833806818182
33,testing,-9.042217548076923
34,testing,-9.649366258741258
35,testing,-9.648912203913492
36,testing,-8.7560546875
37,testing,-9.290299773755656
38,testing,-10.232706310679612
39,testing,-8.114715189873417
40,testing,-9.291977611940299
41,testing,-9.0390625
42,testing,-9.227069805194805
43,testing,-8.583333333333334
44,testing,-9.885731589147287
45,testing,-9.132161458333334
46,testing,-8.840387658227849
47,testing,-9.674748110831235
48,testing,-8.835208333333334
49,testing,-9.332401315789474
50,testing,-8.98924512987013
51,testing,-9.447172619047619
52,testing,-9.203688063063064
53,testing,-9.117119565217392
54,testing,-8.896153846153846
55,testing,-8.900667283298096
56,testing,-9.898786896243292
57,testing,-8.625
58,testing,-8.706117021276595
59,testing,-10.894020061728394
60,testing,-8.412817028985508
61,testing,-8.627232142857142
62,testing,-9.773708976833976
63,testing,-8.869991987179487
64,testing,-8.926816239316238
65,testing,-9.526988636363637
66,testing,-8.309659090909092
67,testing,-9.729323630136987
68,testing,-9.931390977443609
69,testing,-8.183657786885245
70,testing,-8.741450471698114
71,testing,-9.71997893258427
72,testing,-8.6328125
73,testing,-9.73125
74,testing,-9.651530563966691
75,testing,-8.298519736842104
76,testing,-8.905396533613445
77,testing,-9.825520833333334
78,testing,-8.460227272727273
79,testing,-8.905921052631578
80,testing,-9.308463935045317
81,testing,-9.545541158536585
82,testing,-10.17796875
83,testing,-9.909638554216867
84,testing,-8.350746268656716
85,testing,-8.977478448275862
86,testing,-9.870234929078014
87,testing,-8.522752192982455
88,testing,-8.692298689138577
89,testing,-9.105538504464286
90,testing,-9.084272540983607
91,testing,-10.002155172413794
92,testing,-9.404198232323232
93,testing,-8.676403985507246
94,testing,-8.542269736842105
95,testing,-9.326626712328768
96,testing,-8.123046875
97,testing,-8.679435483870968
98,testing,-9.864778868031854
99,testing,-8.410096153846155
100,testing,-9.381030701754385
101,testing,-9.93603515625
102,testing,-8.511314655172415
103,testing,-8.80530753968254
104,testing,-9.540455911823647
105,testing,-9.140802556818182
106,testing,-9.06379132231405
107,testing,-9.212956460674157
108,testing,-8.498719262295081
109,testing,-8.565779320987655
110,testing,-10.076136363636364
111,testing,-8.840871710526315
112,testing,-9.360190217391304
113,testing,-9.799812627032521
114,testing,-8.4875
115,testing,-9.258868243243244
116,testing,-9.877604166666666
117,testing,-8.45021186440678
118,testing,-8.443563432835822
119,testing,-9.544270833333334
120,testing,-7.929375
121,testing,-8.830760542168674
122,testing,-10.102796052631579
123,testing,-8.46072048611111
124,testing,-9.182459677419354
125,testing,-10.22722739361702
126,testing,-8.439293032786885
127,testing,-9.706837016574585
128,testing,-9.721163617886178
129,testing,-9.147804054054054
130,testing,-8.48083118556701
131,testing,-9.720451732673267
132,testing,-8.431743421052632
133,testing,-8.630550986842104
134,testing,-9.37888579842932
135,testing,-8.985873287671232
136,testing,-8.794791666666667
137,testing,-9.958187269372694
138,testing,-8.98415798611111
139,testing,-9.088260135135135
140,testing,-10.025260416666667
141,testing,-8.405393835616438
142,testing,-8.910999737945493
143,testing,-8.950921474358974
144,testing,-8.405493951612904
145,testing,-10.01984375
146,testing,-9.44988098894349
147,testing,-8.222159090909091
148,testing,-9.964594414893616
149,testing,-9.82941513761468
150,testing,-9.164434523809524
151,testing,-9.369791666666666
152,testing,-9.08374297752809
153,testing,-9.002823795180722
154,testing,-9.03656914893617
155,testing,-9.044090346534654
156,testing,-8.90966796875
157,testing,-8.7903125
158,testing,-9.757102272727273
159,testing,-8.845335144927537
160,testing,-8.992
161,testing,-9.636598598769652
162,testing,-8.925208333333334
163,testing,-9.758979885057471
164,testing,-9.79712134009009
165,testing,-8.61863425925926
166,testing,-9.054741379310345
167,testing,-9.417399627483444
168,testing,-8.645673076923076
169,testing,-9.103804347826086
170,testing,-9.482744565217391
171,testing,-8.310227272727273
172,testing,-9.120821220930232
173,testing,-9.025771103896103
174,testing,-8.473599137931034
175,testing,-10.466956967213115
176,testing,-9.899724264705883
177,testing,-8.774259868421053
178,testing,-8.784090909090908
179,testing,-9.81421526586621
180,testing,-9.72082078313253
181,testing,-9.769448138297872
182,testing,-9.835414521112256
183,testing,-8.446361940298507
184,testing,-8.524739583333334
185,testing,-9.70217483108108
186,testing,-8.502367424242424
187,testing,-9.118657178217822
188,testing,-9.519446942446043
189,testing,-8.449353448275861
190,testing,-8.543870192307692
191,testing,-10.146758177570094
192,testing,-8.641649590163935
193,testing,-9.713869863013699
194,testing,-9.72059811827957
195,testing,-8.30126953125
196,testing,-8.520559210526315
197,testing,-9.580672554347826
198,testing,-7.919375
199,testing,-10.060213414634147
200,deployment,-8.896205357142858
201,deployment,-9.742851307189543
202,deployment,-9.77326388888889
203,deployment,-9.24734375
204,deployment,-11.413090437788018
205,deployment,-8.431662087912088
206,deployment,-9.432454427083334
207,deployment,-9.341453853046595
208,deployment,-8.692292944785276
209,deployment,-9.729091282894737
210,deployment,-8.4731529209622
211,deployment,-9.062748015873016
212,deployment,-9.230710998062015
213,deployment,-8.330439814814815
214,deployment,-8.637310606060606
215,deployment,-8.283168859649123
216,deployment,-9.195004921259843
217,deployment,-9.374622584541063
218,deployment,-8.39289314516129
219,deployment,-8.653186274509803
220,deployment,-9.239998784046692
221,deployment,-9.172731946983546
222,deployment,-9.356746495327103
223,deployment,-9.684806034482758
224,deployment,-10.063513513513513
225,deployment,-9.051207386363636
226,deployment,-8.70673076923077
227,deployment,-8.827032342657343
228,deployment,-8.548573369565217
229,deployment,-7.887898885951661
230,deployment,-8.330452127659575
231,deployment,-9.161715888278389
232,deployment,-8.702008928571429
233,deployment,-8.33746408045977
234,deployment,-10.305156920600858
235,deployment,-8.440944220430108
236,deployment,-9.110101744186046
237,deployment,-8.901920180722891
238,deployment,-8.439
239,deployment,-9.439976092896174
240,deployment,-8.855238970588236
241,deployment,-8.64308286516854
242,deployment,-9.076353092783505
243,deployment,-9.359571953781513
244,deployment,-8.482954545454545
245,deployment,-9.978841145833334
246,deployment,-8.74577356557377
247,deployment,-9.603932584269662
248,deployment,-8.761010599415204
249,deployment,-8.529545454545454
250,deployment,-8.584134615384615
251,deployment,-8.81629873853211
252,deployment,-9.030009920634921
253,deployment,-9.298023897058824
254,deployment,-8.358630952380953
255,deployment,-8.860873287671232
256,deployment,-8.891550925925927
257,deployment,-9.112455985915492
258,deployment,-8.191550925925926
259,deployment,-9.214192708333334
260,deployment,-8.634765625
261,deployment,-9.11669921875
262,deployment,-8.713643292682926
263,deployment,-8.572952586206897
264,deployment,-9.723448891251518
265,deployment,-9.315209870848708
266,deployment,-8.958035714285714
267,deployment,-9.091169084821429
268,deployment,-9.925919117647059
269,deployment,-9.244712990936556
270,deployment,-9.307809819897084
271,deployment,-8.491071428571429
272,deployment,-9.253335674157304
273,deployment,-8.375113224637682
274,deployment,-8.520089285714286
275,deployment,-9.5828125
276,deployment,-10.577161608863198
277,deployment,-8.486150568181818
278,deployment,-9.580523021001616
279,deployment,-9.114814814814816
280,deployment,-8.381747159090908
281,deployment,-9.130244755244755
282,deployment,-8.280671296296296
283,deployment,-9.231489301801801
284,deployment,-8.287286931818182
285,deployment,-9.528612012987013
286,deployment,-9.142420977011493
287,deployment,-8.608506944444445
288,deployment,-8.535361842105264
289,deployment,-8.65551097972973
290,deployment,-9.75
291,deployment,-12.471665821501015
292,deployment,-9.186454460966543
293,deployment,-9.065675403225807
294,deployment,-8.34008487654321
295,deployment,-9.535276073619633
296,deployment,-8.222159090909091
297,deployment,-9.209834381044487
298,deployment,-9.985266038696537
299,deployment,-8.63251201923077
300,deployment,-8.342633928571429
301,deployment,-8.171046401515152
302,deployment,-9.723448891251518
303,deployment,-9.153125
304,deployment,-8.676491477272727
305,deployment,-8.580887430939226
306,deployment,-9.576997422680412
307,deployment,-9.196034238249595
308,deployment,-8.497049356223176
309,deployment,-8.361852134146341
310,deployment,-8.72902397260274
311,deployment,-8.784773284313726
312,deployment,-10.194779829545455
313,deployment,-8.42806603773585
314,deployment,-8.287381329113924
315,deployment,-9.211785714285714
316,deployment,-8.790339052287582
317,deployment,-9.244158878504672
318,deployment,-9.257495387453874
319,deployment,-8.44383445945946
320,deployment,-9.95973996350365
321,deployment,-8.321875
322,deployment,-8.742904243119266
323,deployment,-8.729544082125605
324,deployment,-8.51862545289855
325,deployment,-8.392035590277779
326,deployment,-10.889917247386759
327,deployment,-9.05714897260274
328,deployment,-8.78125
329,deployment,-10.020060483870967
330,deployment,-9.325221238938052
331,deployment,-9.017578125
332,deployment,-9.71700465425532
333,deployment,-9.35426401869159
334,deployment,-8.41375
335,deployment,-8.828195382882884
336,deployment,-8.265
337,deployment,-8.819628456221198
338,deployment,-8.65610119047619
339,deployment,-8.790890957446809
340,deployment,-9.321453651685394
341,deployment,-9.112682995495495
342,deployment,-8.764914772727273
343,deployment,-8.674258474576272
344,deployment,-8.858730670103093
345,deployment,-8.347233952702704
346,deployment,-8.170797413793103
347,deployment,-7.780066287878788
348,deployment,-8.98751416163142
349,deployment,-8.743443080357142
350,deployment,-8.180640243902438
351,deployment,-8.418382352941176
352,deployment,-9.305151255707763
353,deployment,-9.007922535211268
354,deployment,-9.143999270428015
355,deployment,-7.876625
356,deployment,-10.613873714652957
357,deployment,-9.255395683453237
358,deployment,-10.575232712765958
359,deployment,-8.386584051724139
360,deployment,-8.751257183908047
361,deployment,-8.772569444444445
362,deployment,-8.314596036585366
363,deployment,-8.774576822916666
364,deployment,-8.69383445945946
365,deployment,-8.46491745283019
366,deployment,-8.299733231707316
367,deployment,-9.059585378681627
368,deployment,-9.714710365853659
369,deployment,-8.7314453125
370,deployment,-9.140984884836852
371,deployment,-7.665972222222222
372,deployment,-8.881822183098592
373,deployment,-8.739397321428571
374,deployment,-7.9
375,deployment,-8.496343085106384
376,deployment,-9.185022154850746
377,deployment,-9.136284722222221
378,deployment,-8.346077127659575
379,deployment,-8.769134963768115
380,deployment,-8.837453358208956
381,deployment,-8.16314935064935
382,deployment,-9.704365079365079
383,deployment,-9.156322337962964
384,deployment,-8.030776515151516
385,deployment,-9.56264880952381
386,deployment,-8.507004310344827
387,deployment,-9.243457217973232
388,deployment,-9.960646489971346
389,deployment,-9.12155123873874
390,deployment,-8.347587719298245
391,deployment,-9.425933441558442
392,deployment,-9.17707325918762
393,deployment,-8.534628378378379
394,deployment,-9.288773148148149
395,deployment,-8.6728125
396,deployment,-8.686458333333333
397,deployment,-8.314052152317881
398,deployment,-9.096185064935066
399,deployment,-10.056763285024154
