question_id,type,mean_score
0,testing,-28.72151131465517
1,testing,-30.880955116421568
2,testing,-29.799521625905797
3,testing,-28.765566170933734
4,testing,-28.62831038135593
5,testing,-20.99564461366034
6,testing,-27.889299665178573
7,testing,-28.625810339095743
8,testing,-26.283340081935975
9,testing,-28.943390376984127
10,testing,-30.22332643995098
11,testing,-28.487166866179436
12,testing,-29.059429122740966
13,testing,-30.28290005387931
14,testing,-26.4043564214939
15,testing,-28.89514802631579
16,testing,-31.649289153343023
17,testing,-25.50103956653226
18,testing,-29.138078278186274
19,testing,-29.985044967296513
20,testing,-29.177647354579207
21,testing,-27.453776041666668
22,testing,-30.71452091942149
23,testing,-25.905512323442675
24,testing,-29.39986617476852
25,testing,-28.922159830729168
26,testing,-28.7023330316311
27,testing,-29.01377467105263
28,testing,-30.584002628504674
29,testing,-28.97620927526596
30,testing,-29.072293133802816
31,testing,-28.817644391741073
32,testing,-26.09047564338235
33,testing,-28.650997421116504
34,testing,-29.350672104779413
35,testing,-22.752691847278225
36,testing,-28.593499599358974
37,testing,-22.96609902641612
38,testing,-29.755400988520407
39,testing,-29.655594837816455
40,testing,-29.34660680970149
41,testing,-28.329647972470237
42,testing,-28.595309963474026
43,testing,-28.845608313106798
44,testing,-26.553860113188975
45,testing,-29.34430017605634
46,testing,-29.04479825949367
47,testing,-23.282644165793247
48,testing,-29.738075657894736
49,testing,-30.723097278225808
50,testing,-28.408418729707794
51,testing,-29.461995442708332
52,testing,-29.759888795045047
53,testing,-28.50932785560345
54,testing,-29.291045673076923
55,testing,-24.245570028981856
56,testing,-24.530855198607593
57,testing,-29.04803631756757
58,testing,-27.384908040364582
59,testing,-22.385505961658353
60,testing,-28.6923828125
61,testing,-27.687343052455358
62,testing,-25.769595703125
63,testing,-29.24558692642405
64,testing,-26.017091869813278
65,testing,-24.592958470394738
66,testing,-27.536295572916668
67,testing,-22.754806170886077
68,testing,-29.0603046875
69,testing,-29.358177923387096
70,testing,-27.363027999650186
71,testing,-27.796681833791208
72,testing,-29.01922123015873
73,testing,-22.627670094936708
74,testing,-18.834064681923973
75,testing,-27.73937774122807
76,testing,-24.371745444013026
77,testing,-29.191779996141975
78,testing,-27.7572265625
79,testing,-24.220884514620984
80,testing,-21.056403588007274
81,testing,-29.849090952932098
82,testing,-29.782492897727273
83,testing,-27.90391366693038
84,testing,-27.97940340909091
85,testing,-25.735835484095983
86,testing,-21.378393096514746
87,testing,-28.856154057017545
88,testing,-25.558853585379463
89,testing,-19.492179849258534
90,testing,-28.874935963114755
91,testing,-27.11983735380117
92,testing,-27.09503173828125
93,testing,-28.741079757462686
94,testing,-28.05993121603261
95,testing,-25.38719148089172
96,testing,-28.836619543650794
97,testing,-28.645098286290324
98,testing,-22.623170125742142
99,testing,-28.05919471153846
100,testing,-28.854451833677686
101,testing,-29.659115998641305
102,testing,-27.97471217105263
103,testing,-28.48059275793651
104,testing,-27.99713635053791
105,testing,-28.382576778017242
106,testing,-30.088441506410255
107,testing,-26.680756667564655
108,testing,-28.937756147540984
109,testing,-30.501290027006174
110,testing,-29.951134314903847
111,testing,-29.19017551369863
112,testing,-27.020844558189655
113,testing,-24.08535535850972
114,testing,-28.313780737704917
115,testing,-31.395063920454547
116,testing,-29.411065924657535
117,testing,-28.1853515625
118,testing,-29.20819729477612
119,testing,-28.058843568313954
120,testing,-28.096754807692307
121,testing,-23.47045075491573
122,testing,-27.164556962025316
123,testing,-27.92632378472222
124,testing,-29.00779172207447
125,testing,-26.22504416279409
126,testing,-28.616998487903224
127,testing,-22.524485062579718
128,testing,-25.20027400245351
129,testing,-27.258454623287673
130,testing,-27.919078947368423
131,testing,-28.030835700757574
132,testing,-28.615405701754387
133,testing,-26.11317845394737
134,testing,-22.566490332285564
135,testing,-29.64398871527778
136,testing,-28.454440576424872
137,testing,-20.62383178531949
138,testing,-29.52788628472222
139,testing,-27.569332593107877
140,testing,-28.398705357142855
141,testing,-28.24892979452055
142,testing,-24.27450390625
143,testing,-28.58311703330592
144,testing,-28.910412397540984
145,testing,-29.606166294642858
146,testing,-22.027413843902067
147,testing,-27.901118607954544
148,testing,-29.457426030585108
149,testing,-29.16953125
150,testing,-30.504254220545977
151,testing,-29.948834528688526
152,testing,-29.06286090353261
153,testing,-29.642661490091463
154,testing,-25.119409476214575
155,testing,-25.85008343446602
156,testing,-28.673301091269842
157,testing,-27.74732421875
158,testing,-26.392739540289256
159,testing,-28.38496968283582
160,testing,-24.76628303527832
161,testing,-23.646926298293486
162,testing,-29.088999155405407
163,testing,-28.37231170997191
164,testing,-27.066777209668192
165,testing,-28.148573477056964
166,testing,-28.1038818359375
167,testing,-22.897451089810925
168,testing,-27.35594951923077
169,testing,-29.450006853070175
170,testing,-28.603104440789473
171,testing,-27.71800853587963
172,testing,-28.251413143382354
173,testing,-29.153358861019736
174,testing,-28.555852521929825
175,testing,-28.09331366356383
176,testing,-21.92762896193992
177,testing,-28.952375856164384
178,testing,-30.7302150974026
179,testing,-21.331280178493923
180,testing,-29.694014386432926
181,testing,-29.20516397664835
182,testing,-23.7451171875
183,testing,-28.235617897727273
184,testing,-28.332426030585108
185,testing,-26.64142117834395
186,testing,-28.631392045454547
187,testing,-28.094343596813726
188,testing,-26.068959263392856
189,testing,-27.844503837719298
190,testing,-27.435528094951923
191,testing,-28.496910511363637
192,testing,-28.971711189516128
193,testing,-22.704667721518987
194,testing,-29.01369382022472
195,testing,-28.74896240234375
196,testing,-29.29972611350575
197,testing,-26.811688026685392
198,testing,-28.742293074324323
199,testing,-26.986732618343197
200,deployment,-27.88643721846847
201,deployment,-22.858189655172414
202,deployment,-30.942832689606742
203,deployment,-28.837790975765305
204,deployment,-28.57183359735023
205,deployment,-28.48641397664835
206,deployment,-26.813578287760418
207,deployment,-26.993014008559904
208,deployment,-26.299259490030675
209,deployment,-21.47789321507104
210,deployment,-26.513707478841145
211,deployment,-27.10534474206349
212,deployment,-26.854593599759614
213,deployment,-25.779856612042682
214,deployment,-29.85665246212121
215,deployment,-25.549081736597522
216,deployment,-26.408908155487804
217,deployment,-27.91459263392857
218,deployment,-27.63681916267641
